nourishment,assistance,emergency
"[[ 4.19972390e+02  6.29428198e+00  3.68790018e+01 ... -5.12578056e+00
   1.73598195e+00 -1.09403844e+01]
 [ 4.00468752e+02 -9.93435286e+00  1.79853507e+01 ... -1.03478555e+01
  -1.75813553e+01 -1.96814689e+01]
 [ 4.09219123e+02  2.44381585e+00  3.61426603e+01 ...  3.39648737e-01
  -7.92964786e+00 -1.11854386e+01]
 ...
 [ 7.07681564e+02 -1.48243522e+02  5.60608242e+01 ...  1.83130565e+01
   5.70733826e+00 -5.59023049e+00]
 [ 6.82258583e+02 -1.49924272e+02  3.12889646e+01 ...  1.68719945e+01
   1.52892972e+00  8.47071409e+00]
 [ 6.46102138e+02 -1.18143963e+02  2.10651543e+01 ...  7.06814315e+00
  -4.56183121e+00  7.53870527e+00]]","[[477.813046    -6.84431078  18.85962819 ...  -1.64180589   2.51168666
   -3.86236361]
 [456.64752808  -5.92417195  29.26021617 ...  11.08306733  -4.34065942
   -6.53283576]
 [447.55857482  -5.64642182  19.24602282 ...  12.54939805  -8.14195049
   -2.25036441]
 ...
 [503.65245466  55.58681004  51.41555259 ...  -6.59791296  -9.83476915
  -18.54045973]
 [480.31785011  39.90244824  51.68630782 ... -22.65787697  -7.85660117
   -8.67398317]
 [476.67541387  28.69266108  42.24013798 ... -18.87541405  -6.87753398
  -19.56749474]]","[[ 4.43841976e+02  8.78864672e+00  3.33835257e+01 ... -1.49347738e+00
   4.61790262e+00  8.56274240e+00]
 [ 4.31024977e+02  2.87655290e+00  3.52826504e+01 ...  1.01508048e+01
   2.67058482e-01 -1.79566802e+01]
 [ 4.43924918e+02  1.42821661e+01  3.14231878e+01 ...  7.48302136e+00
   1.72604469e+00 -8.18300619e+00]
 ...
 [ 6.19707651e+02  7.98494439e+01  9.17925597e+00 ...  6.85344587e+00
   4.93730006e+00  2.03075764e+00]
 [ 5.68068355e+02  6.48022455e+01 -1.25345392e+01 ...  1.87104189e+01
   1.03074575e+01  1.40934053e+01]
 [ 5.54644977e+02  6.77042873e+01 -1.44577834e+01 ...  1.40206260e+01
  -5.51561416e+00 -4.28285223e-01]]"
"[[ 4.15281046e+02  4.62757124e+00  4.93855720e+01 ...  1.76929271e+00
  -6.10495427e+00 -1.23010927e+00]
 [ 4.15397470e+02  2.56548787e+00  4.28532617e+01 ... -5.85057787e+00
  -1.12993964e+00 -5.13341953e+00]
 [ 3.99293454e+02  1.97084199e-01  3.78758765e+01 ... -1.49322168e+01
  -5.00199205e+00 -1.82807887e+01]
 ...
 [ 3.97307713e+02 -1.34832664e+00  4.07740567e+01 ...  3.56288651e+00
  -1.50036264e+01 -1.51200204e+01]
 [ 4.13534603e+02  1.60745220e+01  5.91930897e+01 ...  2.59423291e+00
  -5.27363466e+00 -1.98329952e+00]
 [ 4.10983780e+02  1.49239038e+01  5.08067598e+01 ... -2.21133742e+00
   8.03895312e-01  3.31547529e-01]]","[[430.18950349  12.37372012  46.63819876 ...  -0.73372263   0.70290248
    7.32120848]
 [425.79732321  12.31831201  55.82196937 ...   8.42196819   1.9114176
   -9.62573762]
 [423.45092306  15.34204091  56.53061483 ...  -6.11509519  -4.60875706
   -7.1269867 ]
 ...
 [421.54726295  21.35883489  40.90672694 ...   3.39468029  -1.9956727
   -0.52198486]
 [418.11180043  17.79049117  35.5976409  ...   7.71712233   1.66673561
    2.6314407 ]
 [429.04830596  26.76832798  46.9620204  ...  -2.20731804   2.32464612
   -3.03604459]]","[[ 8.12635483e+02 -3.09055246e+01 -5.32512269e+01 ... -6.49108214e+00
   1.05481406e+01 -5.15928482e-01]
 [ 7.73086381e+02 -1.65661134e+01 -5.54875281e+01 ... -1.18135000e+01
   1.58581066e+01 -6.78059644e+00]
 [ 7.70016854e+02 -3.81056444e+00 -4.69831137e+01 ... -8.04119021e+00
   1.05944607e+01 -9.35636868e+00]
 ...
 [ 4.31657155e+02  9.49427219e+00  4.13262695e+01 ...  1.20890094e+01
   1.32864796e+01 -5.59391527e+00]
 [ 4.27947015e+02  3.36365095e+00  3.60369590e+01 ...  1.72839603e+01
   9.89602476e+00 -4.40544224e+00]
 [ 4.38092503e+02  1.08520728e+01  3.97312125e+01 ...  1.93109777e+01
   9.84268282e+00 -8.23878651e+00]]"
"[[ 5.93711793e+02  4.13910873e+01  4.65305010e+00 ... -6.92149743e+00
  -1.52868505e+01 -1.66689824e+00]
 [ 5.96523249e+02  6.06877467e+01  1.26901914e+01 ... -6.24142476e+00
  -5.59297737e+00 -1.56690186e+00]
 [ 6.17156406e+02  5.71264354e+01  1.50414282e+01 ... -5.65848446e+00
  -1.97987405e+00  5.54942549e+00]
 ...
 [ 5.63101035e+02 -6.18295052e+01  6.90842649e+01 ...  2.34762573e+01
   8.56001880e+00 -1.36314569e+01]
 [ 5.80640236e+02 -4.17454731e+01  6.14496980e+01 ...  1.42894715e+01
  -4.21363111e-01 -7.99946514e+00]
 [ 6.09773080e+02  3.23382237e+00  3.23927541e+01 ...  1.04832198e+01
   1.28913695e+00 -8.54579597e+00]]","[[ 4.52865803e+02  6.57145623e-01  1.56308921e+01 ...  5.44130045e-01
  -1.81101779e+00 -5.71938343e-01]
 [ 4.67624638e+02 -9.13383592e+00  1.36981412e+01 ...  2.04249561e+00
  -1.13477627e+01 -8.62121087e+00]
 [ 4.71074857e+02 -1.21284405e+01  1.97987944e+01 ...  9.04872649e-01
  -1.09024778e+01 -7.51934420e+00]
 ...
 [ 5.14512787e+02  9.13803335e+00  1.91697896e+01 ... -3.84706432e-01
  -4.50396625e+00  5.43580043e+00]
 [ 5.25775229e+02  1.79107754e+01  4.55178480e+00 ...  2.93825527e+00
   5.49967436e+00  6.02301762e+00]
 [ 5.36743234e+02  2.41912089e+01  1.09704278e+00 ... -1.16637185e+00
   1.14466042e+00  7.64205866e+00]]","[[ 4.00999382e+02 -3.37265803e+00  4.62664777e+01 ... -4.60742749e+00
  -1.09902065e+01 -5.90960187e+00]
 [ 4.11581863e+02  1.10043395e+01  4.12905915e+01 ...  2.05225165e+00
   1.92317954e+00  5.89889317e+00]
 [ 4.15156856e+02  6.10498539e-01  4.37288011e+01 ... -4.20762366e+00
  -8.15429889e+00 -8.20638646e+00]
 ...
 [ 4.10514069e+02  7.93987273e+00  4.25536372e+01 ...  1.37713519e+00
   6.34454711e+00 -3.83931706e+00]
 [ 4.09399301e+02  8.84288697e+00  4.29933937e+01 ...  4.66896148e+00
  -3.11621605e+00 -1.80976266e+00]
 [ 4.03805421e+02 -1.29630199e+00  4.05984326e+01 ...  1.27810342e+00
  -4.51884691e+00  3.74719325e-01]]"
"[[ 1.03889975e+03 -1.40216275e+02 -4.21367065e+01 ... -1.40326311e+01
  -1.56133195e+01 -3.46365728e+00]
 [ 1.04200191e+03 -1.14507434e+02 -3.42103518e+01 ...  3.07273954e+00
  -6.19467973e+00  4.56619840e+00]
 [ 1.04014476e+03 -1.24469852e+02 -3.14350026e+01 ...  3.45419528e+00
  -1.84573972e+00 -2.76839202e+00]
 ...
 [ 1.02360895e+03 -1.36968198e+02 -4.34193074e+01 ... -5.17560205e+00
   1.04977791e+01  1.67278787e+01]
 [ 1.03137884e+03 -1.47681682e+02 -4.92179832e+01 ... -8.35020943e+00
   1.66807172e+00  9.68747572e-01]
 [ 1.01894528e+03 -1.50378436e+02 -4.77972502e+01 ... -1.61806974e+00
   4.05793376e+00 -4.10233550e+00]]","[[ 4.12903050e+02  5.67247925e+00  3.94503223e+01 ... -6.12812401e+00
  -3.18940215e+00  7.12257055e+00]
 [ 4.12445988e+02 -2.43064329e+00  4.70663601e+01 ...  4.48221571e+00
  -1.94420846e+00  1.06158620e-01]
 [ 4.28661673e+02  8.02967476e+00  3.61658703e+01 ...  5.26859259e+00
   2.19355486e+00 -4.51269114e+00]
 ...
 [ 4.26374718e+02  1.05566781e+01  5.25201529e+01 ...  8.45112282e+00
  -6.41823539e-02  7.61718839e+00]
 [ 4.21203744e+02  1.40994705e+01  5.77082385e+01 ...  3.69400094e+00
   2.92132102e+00  7.65523075e+00]
 [ 4.25671170e+02 -7.14067557e-01  4.10520249e+01 ...  8.86275724e+00
   1.05357373e+00 -3.32330324e-01]]","[[ 6.01550647e+02  3.76810201e+01 -5.83830815e+01 ... -1.65876746e+01
  -1.89781582e+01 -2.03023756e+01]
 [ 6.12283998e+02  3.44933094e+01 -4.98074229e+01 ... -1.96771062e+00
  -8.88364292e+00 -1.29788080e+01]
 [ 5.84135216e+02  5.90887373e+01 -2.42769236e+01 ...  6.67032315e+00
   2.14710041e+00 -1.30996961e+01]
 ...
 [ 5.48324229e+02 -3.92681455e+01  7.17232470e+01 ... -2.60127829e+01
  -8.16803453e+00 -1.33579951e+01]
 [ 5.03805166e+02 -3.03459950e+00  5.17977436e+01 ...  5.21985373e-01
   5.89400110e-01 -4.47806903e+00]
 [ 5.02467722e+02  1.41500121e+01  2.71355622e+01 ... -9.65237286e+00
   1.14715352e+01  1.01204489e+01]]"
"[[ 1.03147932e+03 -1.36536057e+02 -4.47099870e+01 ...  4.82731192e-01
  -1.26033942e+01 -1.40537172e+01]
 [ 1.02501023e+03 -1.26578152e+02 -4.49761411e+01 ... -1.20324433e+01
  -1.95785878e+01 -8.38693124e+00]
 [ 1.03731755e+03 -1.28425007e+02 -4.02167784e+01 ... -6.88887600e+00
  -2.54456064e+00 -1.00209085e+00]
 ...
 [ 1.03071392e+03 -1.50429816e+02 -3.00891899e+01 ... -4.19701890e+00
   2.11134114e+00  3.33862731e-01]
 [ 1.03840776e+03 -1.36042697e+02 -2.89440362e+01 ...  2.71180565e+00
  -1.00128435e+00  3.29211998e+00]
 [ 1.03306614e+03 -1.36188461e+02 -2.31897826e+01 ... -7.38876988e+00
  -8.03861935e+00 -7.46322520e+00]]","[[ 7.41562512e+02 -4.85177838e+00 -5.28142666e+01 ...  3.02656694e-01
  -1.30811113e+01 -1.83471513e+01]
 [ 6.91969758e+02 -3.16405690e+00 -3.02885609e+01 ...  3.81595857e+00
  -1.94834446e+01 -1.54905468e+01]
 [ 6.45619900e+02  2.54750157e-01 -2.91652765e+01 ...  5.41116550e+00
  -1.90078173e+01 -4.86781460e+00]
 ...
 [ 4.22707711e+02  1.77114326e+01  4.73479271e+01 ...  3.69332935e+00
  -3.62349406e+00  9.07369478e+00]
 [ 4.02407274e+02  3.72763901e+00  3.80921483e+01 ... -3.87633915e+00
  -1.17017220e+00 -2.31677379e-01]
 [ 4.12719575e+02  5.15378739e+00  4.29608036e+01 ... -3.91988854e+00
   9.29785450e-01  3.88472005e+00]]","[[ 4.13041957e+02 -1.32664140e+00  4.12912066e+01 ... -6.15906969e+00
  -1.53382624e+01 -1.73870269e+01]
 [ 4.10078149e+02  1.24172303e+01  3.86844700e+01 ...  6.86835533e+00
  -6.23046188e+00 -1.50549856e+00]
 [ 4.09844734e+02  1.50717409e+01  3.78729234e+01 ...  4.12539760e+00
  -5.60875388e+00  1.22917974e+00]
 ...
 [ 4.90599515e+02 -3.24696558e+01 -7.77404974e+00 ...  4.65016833e+00
  -2.60483819e+00 -7.45403299e-01]
 [ 5.08276157e+02 -2.84596191e+01 -5.27731053e+00 ... -1.48732351e-01
  -1.17572262e+01 -3.42557158e+00]
 [ 4.97303730e+02 -4.69901222e+01 -1.79163045e+01 ...  6.51399644e+00
  -1.82209782e+01 -1.89786508e+00]]"
"[[ 6.72248024e+02  1.11593673e+01 -5.49871914e+01 ...  1.27315867e+01
  -6.89120127e+00 -3.82343908e+01]
 [ 6.74800222e+02  1.10665179e+01 -4.74213341e+01 ...  9.08724244e+00
  -1.11223687e+01 -3.57613506e+01]
 [ 6.54100662e+02  1.86921701e+01 -4.76405854e+01 ...  2.34997728e+00
  -1.75317494e+01 -3.60483358e+01]
 ...
 [ 4.09794233e+02  1.04324084e+01  5.62734566e+01 ...  8.34209741e+00
  -3.06427972e+00 -6.43209139e+00]
 [ 4.07463265e+02  1.26507835e+01  4.48610608e+01 ...  9.38107172e+00
  -3.44725309e+00  1.98577520e-01]
 [ 4.03893698e+02  6.66623071e+00  4.06521115e+01 ...  2.75031239e+00
  -3.77816667e+00 -3.30911984e+00]]","[[426.55157253   1.77852584  39.58171956 ...   8.05714422   7.11141544
    2.59348484]
 [413.7387571    8.90246935  60.60766505 ...   4.20523007  10.34562529
   10.32495675]
 [406.48400521  15.42573396  53.16535286 ...   7.62720332  -3.39681057
    3.11540637]
 ...
 [393.56908429 -14.61498144  43.98203653 ...   3.40411485  12.12283907
   -1.20028259]
 [406.88998389   5.33363508  52.77922533 ...  25.00606411  12.40648825
   -8.68290479]
 [403.03437434   4.99122905  49.0676425  ...  16.26567233  11.34850911
   -4.87609369]]","[[ 4.53908825e+02 -1.67207209e+01  1.48437901e+01 ...  2.77981455e+01
   7.18918814e-01 -2.25295194e+01]
 [ 4.40560600e+02 -1.81182175e+01  1.35387526e+01 ...  3.30071358e+01
  -4.14860232e-01 -2.21911809e+01]
 [ 4.38682872e+02 -2.13842897e+01  1.57370365e+01 ...  1.83947102e+01
   6.85298754e+00 -8.56842575e+00]
 ...
 [ 4.17247278e+02  7.96311726e+00  3.45759679e+01 ...  4.05048832e-01
  -2.38983411e+00 -3.48558180e+00]
 [ 4.07350001e+02 -9.11759520e+00  3.61151578e+01 ... -2.66779326e+00
  -5.99854336e+00 -5.15061678e+00]
 [ 4.15435174e+02  3.28706249e-01  3.78511224e+01 ...  5.88106299e+00
  -6.72285079e-01 -1.94171538e+00]]"
"[[ 4.30137821e+02  6.28427148e+00  4.71628032e+01 ...  3.53868359e+00
   4.60209806e+00  5.24427837e+00]
 [ 4.10717133e+02  1.69968855e+01  5.56617923e+01 ... -3.48067963e+00
  -7.36384994e-01  4.08008161e+00]
 [ 4.04812918e+02  5.36771408e+00  4.91211741e+01 ... -1.54286911e+01
  -2.06779278e-01 -5.83983374e+00]
 ...
 [ 3.96040961e+02  5.90268504e+00  5.77284706e+01 ...  4.46548332e+00
   3.87169050e+00 -1.25736811e+00]
 [ 4.06000720e+02 -2.39931744e+00  4.96749464e+01 ... -3.21209936e-01
  -1.02901242e+00 -8.87598789e+00]
 [ 4.11156039e+02 -8.54899597e-01  4.22490362e+01 ... -8.55301068e+00
  -1.36259094e+01 -9.62276492e+00]]","[[ 4.48562757e+02  9.41733640e+00  3.18535149e+01 ... -6.30529862e+00
  -5.66705673e+00 -4.27026172e-01]
 [ 4.21717497e+02  1.19565380e+01  3.30510292e+01 ... -1.47642432e+00
  -2.64151340e+00  7.50202024e-02]
 [ 4.14677417e+02  8.30116151e+00  3.90143251e+01 ... -7.96022968e+00
  -5.43538866e+00  4.67593329e+00]
 ...
 [ 3.98061943e+02  6.31767935e+00  3.90363916e+01 ...  1.40295003e+01
   6.43972161e+00  2.00853989e+00]
 [ 3.95797598e+02 -6.93225466e+00  4.64294877e+01 ...  3.57771634e+00
  -3.04791115e+00  6.33722537e+00]
 [ 4.09268358e+02 -2.20577011e+01  4.35828492e+01 ...  7.81846585e+00
  -4.66094097e+00 -3.23200869e+00]]","[[ 5.84015743e+02 -3.71915911e+01 -4.12516111e+01 ... -2.83444816e+01
   1.01976703e+01  1.06202651e+01]
 [ 5.75256424e+02 -6.74698866e+01 -4.35044325e+01 ... -3.76464401e+01
   5.16461543e+00  4.84668639e+00]
 [ 6.09864618e+02 -1.97279894e+01 -8.30993576e+00 ... -4.61011235e+01
  -1.22382437e+01 -3.61347764e+00]
 ...
 [ 6.25258611e+02 -1.62375885e+01 -4.81064028e+01 ... -2.71439457e+01
   8.21420566e+00  3.74911714e+00]
 [ 6.51199741e+02  4.25176594e+00 -3.57266150e+01 ... -3.76634340e+01
  -6.20445110e-01 -5.98814311e-01]
 [ 6.94370626e+02  1.36579155e+01 -2.98559596e+01 ... -3.65560111e+01
  -1.73709128e+01  4.67208594e+00]]"
"[[ 4.40539619e+02 -3.32092620e+00  3.96633892e+01 ...  8.66410591e+00
   8.92297950e+00  4.94733537e+00]
 [ 4.08670714e+02  1.03052538e+01  5.40798028e+01 ...  1.78029998e+01
   8.52396680e+00  1.16479113e+01]
 [ 4.02603960e+02  9.89426753e+00  4.68820086e+01 ...  1.63273539e+01
   9.22245482e+00  1.60144075e+01]
 ...
 [ 4.13679565e+02  7.69547363e+00  5.18972516e+01 ...  9.55000956e+00
   7.61424449e+00  1.74719768e+00]
 [ 4.05237274e+02  1.09481076e+01  5.97170726e+01 ...  1.10148397e+01
   2.24400473e+00 -1.89038703e-01]
 [ 4.01183522e+02  1.01892036e+01  5.64982984e+01 ...  4.19086334e+00
   8.66292876e+00  4.57286862e+00]]","[[ 4.45488947e+02 -3.96465606e-01  3.20277353e+01 ...  9.12735356e+00
   2.91265306e+00  7.08668870e-01]
 [ 4.08105654e+02  1.45510644e+01  4.77543816e+01 ...  1.44677020e+01
   1.49295594e+01  5.84372326e+00]
 [ 4.08571604e+02  1.40391908e+01  4.15694271e+01 ...  1.42296231e+01
   3.20416633e+00 -4.81461297e-01]
 ...
 [ 4.98873658e+02  7.58590052e+01  3.38274337e+01 ...  9.66124974e+00
  -2.75689874e+00  9.50315958e+00]
 [ 5.18006206e+02  7.19418893e+01  1.91226973e+01 ...  7.17649465e+00
   4.03368789e+00  1.91251726e+01]
 [ 5.50097635e+02  8.29060285e+01 -6.42001014e+00 ... -4.16003262e+00
   3.95475768e+00  2.28620760e+01]]","[[ 4.06557800e+02  5.20011097e-02  3.40613812e+01 ... -5.96055188e+00
   1.26745006e+00  1.20372949e+00]
 [ 4.61423400e+02 -8.43302387e+00  2.71809647e+01 ... -8.79920943e+00
  -3.71931159e+00  1.33291463e+01]
 [ 4.45762638e+02 -5.39105610e+00  2.96493519e+01 ... -1.07681717e-01
   6.63873596e+00  2.00014431e+01]
 ...
 [ 6.69613224e+02  5.02825557e+01 -8.05595673e+01 ... -1.85989538e+01
  -1.77015766e+01 -5.49416962e+00]
 [ 6.16578297e+02  6.98140907e+01 -6.61082568e+01 ... -1.60339036e+01
  -1.47674260e+01 -3.39526124e+00]
 [ 5.24190734e+02  5.03572616e+01 -1.23389444e+01 ... -1.29272045e+01
  -4.42272682e-01 -9.31602960e+00]]"
"[[408.53752985  -9.94391705  26.75963957 ...  -1.54987904  -0.48934044
    0.8399411 ]
 [407.6412758   -2.74758199  37.62571414 ...   2.08412763  12.54906068
   11.05959904]
 [420.84255107  17.29651906  45.56204917 ...   2.87018138   8.33176677
    3.8107871 ]
 ...
 [411.10648321  12.4387006   43.23392313 ...   3.87942638  12.37890027
   -1.16408917]
 [408.7479904   21.47119474  55.54803109 ...   6.37386573  -0.55507541
   -2.84482757]
 [408.47964152  13.6566754   37.17485508 ...  -3.76042317  -7.2182522
    1.88044172]]","[[517.89728257 -59.72018825  46.06517872 ... -14.2972346   -8.10622957
  -20.38446774]
 [479.68234491 -56.88105274  51.53100261 ...  -7.29215432  -0.54038371
  -14.19858908]
 [461.08059233 -49.56913539  59.49947061 ...  -8.27005778   6.3631047
   -6.97099998]
 ...
 [458.05997464  -0.86124823  15.22836518 ...  -2.00416655 -10.14289752
   12.77785678]
 [443.12150989  10.88072971  34.0264829  ...  -4.45867741  -4.65844271
   10.36176576]
 [433.47940681  19.88939765  40.90656869 ...  12.23943962   2.379996
   12.25613193]]","[[442.3865501   -7.88047074  12.76209706 ... -10.57848535   4.36854625
   -3.31966629]
 [446.95841991  -7.67338991  11.39493943 ...  -1.81561674  11.31029092
    6.97991036]
 [446.35921738  -7.27702064  11.68381756 ...  -9.471813    -3.89998014
    2.48048086]
 ...
 [411.84732639  16.24789304  50.34216828 ...   7.18711821  15.60881835
   11.65565891]
 [414.6437459   11.71608659  55.89342483 ...  10.20648607  17.62617756
    8.04690727]
 [422.56784848  25.798999    46.35926428 ...  12.08256823  10.12050311
    1.32500946]]"
"[[ 4.02708977e+02 -4.99064350e-01  3.72486781e+01 ...  3.80641156e-03
  -1.15517676e+00  4.46731164e+00]
 [ 3.96178474e+02 -6.91573167e-01  5.31980142e+01 ...  3.12668854e+00
   6.15739209e+00  3.91929266e+00]
 [ 4.08420595e+02  1.30302893e+01  4.62983724e+01 ...  2.96158002e+00
   2.23476692e+00  8.91677881e+00]
 ...
 [ 4.04473200e+02 -4.42583815e-01  4.74480261e+01 ...  1.22412233e+01
   3.64007734e+00 -1.81704353e+00]
 [ 3.98758578e+02  4.03213724e+00  5.32147452e+01 ...  1.34486034e+01
   1.39365397e+01 -5.16682197e-01]
 [ 4.17726709e+02 -4.12897810e-01  4.22610908e+01 ...  1.55091843e+01
   2.10550907e+01  1.04463330e+01]]","[[ 4.57378960e+02  1.08819279e+01  2.39719700e+01 ... -2.31164121e+01
  -1.26568397e+01  1.28803808e+01]
 [ 4.32138005e+02 -1.13269402e+01  1.03079756e+01 ... -1.81307721e+01
  -1.47836859e+01  2.15650141e+01]
 [ 4.47029396e+02 -2.43033920e-01  1.98578917e+01 ...  5.24503029e-01
   1.33360082e+01  1.98678320e+01]
 ...
 [ 4.24613837e+02 -7.24161075e+00  2.80721388e+01 ... -6.65103543e+00
  -6.17305622e+00  9.49241119e-01]
 [ 4.25002638e+02 -4.82312041e-01  3.12414915e+01 ...  4.62329832e+00
  -4.00472663e+00  4.75757919e+00]
 [ 4.12726108e+02 -1.12550916e+00  2.81027850e+01 ... -1.23623587e+00
  -3.49457762e+00  1.37239284e+01]]","[[ 4.15673484e+02  3.11743807e+00  3.91844461e+01 ...  3.35362560e+00
  -9.10925930e-01 -1.71322046e+00]
 [ 4.15235621e+02 -8.60360550e+00  3.12087023e+01 ...  4.07406420e-02
   1.47179746e+01  4.84131169e+00]
 [ 4.12968706e+02  4.90377751e+00  3.67116845e+01 ... -6.93041734e+00
   7.51847334e+00 -8.61036876e+00]
 ...
 [ 4.74203071e+02 -1.72630770e+01  5.64887592e+00 ... -1.54562655e+01
   1.72683833e+00  1.63919408e+01]
 [ 4.41072001e+02 -7.15415742e+00  1.83854507e+01 ... -5.54821498e+00
   7.78577138e+00  1.56541410e+01]
 [ 4.22728740e+02  7.93934458e+00  3.18943683e+01 ...  4.38892555e+00
   1.28116828e+01  1.96050744e+00]]"
"[[496.86024318 -70.16654125  39.15183532 ...   6.91209173  -7.44457485
   -4.76042122]
 [491.74588175 -68.84839306  40.44304586 ...  15.22441664  15.25779558
    2.18700148]
 [484.37045887 -30.33586292  35.58000262 ...   5.39250708   7.53654157
    1.3743724 ]
 ...
 [421.89916259  17.78883117  55.74439838 ...  11.88500681   8.48279991
    6.45850812]
 [424.1401951   34.41287033  55.56396844 ...   6.29109484   4.42839551
   10.36359599]
 [424.57503408  20.92991613  48.73428444 ...   7.97116603  13.51732606
    6.40220469]]","[[412.74449677   5.08806806  35.85459748 ...  -3.60046439   5.33334682
   16.20965523]
 [429.98020515  29.28255877  50.3136335  ...   2.50793731  -9.39779794
   -9.87528745]
 [423.20113631  13.70408984  41.15020212 ...   1.96991305   5.78866133
    0.88197495]
 ...
 [453.89047307   4.50969599  13.71547897 ... -12.37690112 -12.02438875
    3.68039166]
 [437.19497227   2.86463861  12.60533294 ...  -1.52488992  -6.24306854
   -0.96241585]
 [438.3264405   -6.96003234  15.65241203 ...  -3.26410246 -16.01476829
   -4.20842896]]","[[ 4.11174660e+02  1.38689702e+01  5.73396541e+01 ...  2.53968504e+00
   3.81153498e+00 -6.54113318e+00]
 [ 4.10083438e+02  7.91194433e+00  5.52874149e+01 ... -4.30688481e-01
  -6.04436731e+00 -6.91170472e+00]
 [ 4.06185550e+02  1.49946574e+01  4.95295618e+01 ... -6.81854119e+00
  -4.72281009e-01 -4.14394340e-01]
 ...
 [ 4.14585708e+02  3.78389017e+00  3.26476663e+01 ...  6.11245422e+00
   4.83097493e+00 -1.22627101e+00]
 [ 4.14321286e+02  1.03867376e+01  4.70637618e+01 ... -1.48881519e+00
   9.53397354e+00  4.33639153e-02]
 [ 4.04733977e+02  4.34296982e-01  2.82253145e+01 ... -7.97143634e-01
  -2.13741562e+00 -3.35866777e+00]]"
"[[ 4.17181696e+02 -7.79184206e+00  3.90741405e+01 ... -3.80229911e+00
  -5.76012803e+00 -8.01816201e+00]
 [ 4.07415317e+02  8.27491079e+00  5.86337769e+01 ...  1.35631001e+01
   1.02836042e+01  8.51197803e+00]
 [ 4.03083873e+02  9.68282178e+00  6.11512561e+01 ...  5.98688310e+00
   6.90011292e+00  2.59385714e+00]
 ...
 [ 6.99437290e+02  4.37305913e+01 -4.61062313e+01 ...  7.61935681e+00
  -1.27575119e+01 -1.81313367e+01]
 [ 6.99913964e+02  4.11684094e+01 -5.97329858e+01 ... -5.23319814e-01
  -1.47564882e+01 -1.44084457e+01]
 [ 6.91485516e+02  6.02283308e+01 -6.87196277e+01 ... -6.75615677e+00
  -1.32095522e+01 -3.96040551e+00]]","[[ 4.65676335e+02 -4.59232207e+00  2.16295270e+01 ...  2.46812154e+01
   7.07163517e+00 -1.51648602e+01]
 [ 4.32310482e+02 -1.70134957e+01  2.51622727e+01 ...  8.46300823e+00
   3.69877820e+00 -9.22111427e+00]
 [ 4.05234354e+02  3.79247084e+00  4.07133195e+01 ...  5.52041735e-01
  -6.65544542e+00  5.96462250e-02]
 ...
 [ 6.04765550e+02  4.92101900e+01 -2.53134268e+01 ... -1.47824745e+01
  -1.65009236e+01 -4.20948436e+00]
 [ 6.03355832e+02  4.99867641e+01 -2.34812774e+01 ... -1.73591498e+01
  -1.28617198e+01 -4.96029978e+00]
 [ 6.01378293e+02  5.19592365e+01 -2.82927566e+01 ... -1.99146602e+01
  -1.24149952e+01 -1.05078792e+01]]","[[721.48081837   4.94540116 -42.67279118 ... -30.00047139  -9.48848933
    8.43476181]
 [720.02287284   3.18531119 -54.81051059 ... -36.06310025 -14.22175994
    3.92679924]
 [725.16926976   1.04853346 -59.08135789 ... -41.67058401 -12.53358502
    1.66577458]
 ...
 [617.0673552   76.90639202 -46.39758711 ...  -3.63579959   6.51966034
    8.70551082]
 [531.56191076  58.45211038   7.12401675 ...  -3.92763244   4.63148053
    7.10813477]
 [479.0327972   40.0596231   36.34608626 ... -11.27493741  -4.36958239
   -4.14597037]]"
